Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1246,9,0.41065,1,187,501
1247,9,0.259718,1,213,501
1248,1248,0.205525,0,502,503
1249,10,-nan(ind),1,37,502
1250,10,-nan(ind),1,79,502
1251,513,0.00577516,0,208,503
1252,513,0.00577529,0,209,503
1253,1253,0.287304,0,504,505
1254,9,0.110833,1,11,504
1255,9,1.01177,1,91,504
1256,18,0.0652514,0,83,505
1257,18,0.0652514,0,193,505
1258,1,0,0,506,507
1259,5,0.365073,1,12,506
1260,5,0.251774,1,93,506
1261,2,0.797358,1,9,507
1262,2,0,1,227,507
1263,1,0,0,508,509
1264,5,1.13137,1,29,508
1265,5,1.13137,1,109,508
1266,5,0.092247,1,93,509
1267,5,0.092247,1,317,509
1268,1,0,0,510,511
1269,9,-nan(ind),1,41,510
1270,9,-nan(ind),1,113,510
1271,9,-nan(ind),1,91,511
1272,9,-nan(ind),1,333,511
1273,1,0,0,512,513
1274,7,0.16711,1,77,512
1275,7,0.105689,1,119,512
1276,9,1.78885,1,221,513
1277,9,0,1,497,513
1278,1278,0.200017,0,514,515
1279,303,0.00387514,0,124,514
1280,303,0.00387514,0,125,514
1281,10,0,1,21,515
1282,10,1.38564,1,490,515
1283,1,0,0,516,517
1284,7,3.29848,1,55,516
1285,7,3.29848,1,139,516
1286,7,0.084305,1,295,517
1287,7,0.0596126,1,361,517
1288,1,0,0,518,519
1289,7,0.105775,1,129,518
1290,7,0.11826,1,139,518
1291,7,1.55733,1,129,519
1292,7,1.74115,1,447,519
1293,1293,0.877977,0,520,521
1294,1,0.152279,1,101,520
1295,1,0,1,143,520
1296,118,0.15444,0,50,521
1297,118,0.15444,0,464,521
1298,1,0,0,522,523
1299,7,0,1,71,522
1300,7,0.221637,1,149,522
1301,7,1.74115,1,139,523
1302,7,1.55733,1,516,523
1303,1,0,0,524,525
1304,7,0,1,121,524
1305,7,0.191944,1,149,524
1306,7,-nan(ind),1,121,525
1307,7,-nan(ind),1,379,525
1308,1,0,0,526,527
1309,3,0.46996,1,14,526
1310,3,0.415662,1,155,526
1311,3,3.05941,1,33,527
1312,3,1.0198,1,167,527
1313,1313,0.216909,0,528,529
1314,7,0.0967016,1,8,528
1315,7,0.237736,1,157,528
1316,363,0.255808,0,149,529
1317,363,0.401093,0,430,529
1318,1318,0.36737,0,530,531
1319,393,0.565547,0,160,530
1320,393,0.565547,0,161,530
1321,1,-nan(ind),1,291,531
1322,1,-nan(ind),1,477,531
1323,1323,0.0720262,0,532,533
1324,10,1.38564,1,47,532
1325,10,0,1,163,532
1326,398,0.0792672,0,163,533
1327,398,0.079267,0,482,533
1328,1328,0.352927,0,534,535
