index, isfixed(bool), pos.x,pos.y,pos.z
412,0,0.0142645,1.06266,0.486307
413,1,1,0,1
414,0,1.12962,3.80976,0.274027
415,1,2,4,1
416,0,0.578901,4.67262,1.13078
417,1,1,5,1
418,0,1.57525,1.81988,-0.593001
419,1,2,2,-1
420,0,1.43083,2.91432,-0.354546
421,1,2,3,-1
422,0,0.938295,4.81695,1.01955
423,0,0.692631,3.70423,1.1955
424,0,1.80193,3.05144,-0.751317
425,0,1.25017,3.65698,0.115515
426,0,0.902835,2.36006,0.420384
427,0,-0.173525,2.09456,1.20879
428,0,0.721647,4.02993,1.10514
429,1,1,4,2
430,0,1.03053,1.20613,1.34199
431,0,1.43292,1.03599,1.24347
432,0,-0.182871,1.02636,0.537585
433,1,-1,0,1
434,0,0.904609,1.34181,1.08956
435,0,0.838297,1.94162,1.76882
436,0,1.88706,2.60259,-0.457673
437,1,2,3,-1
438,0,1.88704,2.79994,-0.678754
439,0,1.91654,2.71704,-0.61162
440,0,1.0139,1.46468,-0.0637312
441,1,2,1,-1
442,0,1.97332,2.91677,-0.884191
443,1,2,3,-1
444,0,0.918687,2.36096,0.227936
445,0,1.43815,3.36762,-0.210312
446,0,0.694315,4.36061,1.0683
447,1,1,5,1
448,0,1.78633,2.17659,0.113177
449,1,2,2,1
450,0,1.20194,1.19425,1.18322
451,1,2,1,1
452,0,1.85176,2.97246,-0.807241
453,0,1.91702,2.81624,-0.723165
454,0,-1.38118,1.1385,0.727017
455,1,-2,1,1
456,0,1.82799,2.59324,-0.395551
457,0,0.767318,1.46569,1.01048
458,0,-1.75,1.03131,0.890084
459,1,-2,1,1
460,0,1.76571,2.85662,-0.602982
461,0,1.29766,2.0296,0.307551
462,0,1.79594,1.96922,-0.8069
463,1,2,2,-1
464,0,1.37414,1.91081,-0.386917
465,0,0.87723,2.36701,0.391231
466,0,0.443345,1.84693,0.354936
467,0,0.22542,1.34334,0.42372
468,0,0.338828,1.95883,0.448856
469,1,1,2,2
470,0,0.361763,1.79617,0.397527
471,0,0.496052,2.03092,0.35804
472,0,1.62694,3.01025,-0.573499
473,0,0.890434,2.28628,0.769323
474,0,1.73469,0.422925,1.63047
475,0,1.75,1.09255,0.947989
476,0,1.8994,1.90109,0.874769
477,1,2,2,1
478,0,1.79594,1.96922,-0.8069
479,0,1.69392,1.95383,-0.710349
480,0,-0.567525,2.23301,1.63688
481,1,-1,2,2
482,0,-0.864566,2.07345,1.88487
483,0,-0.864566,2.07345,1.88487
484,1,-2,0,0
485,0,-1.3268,0.396438,0.0623287
486,1,-1,0,1
487,1,-1,0,1
488,1,-2,0,0
489,0,-1.75,0.168231,0.0458547
490,1,-1,2,2
491,0,-0.940949,2.03643,1.94191
492,1,-1,1,2
493,0,-1.22235,0.866492,1.65669
494,1,-1,1,2
495,0,-1.10725,0.994827,1.61701
496,1,1,4,2
497,1,1,4,2
498,1,1,2,2
499,0,0.0525315,2.26859,1.61303
500,1,-1,1,2
501,1,-1,1,2
502,1,-2,1,1
503,0,-1.74813,1.04211,0.971908
504,1,-1,3,2
505,0,-0.761053,2.82055,1.80081
506,1,-1,0,1
507,1,-1,0,1
508,1,2,0,0
509,1,2,0,0
510,1,1,4,2
511,1,1,4,2
512,1,1,4,2
513,1,1,4,2
514,0,-1.77318,0.981545,0.896456
515,1,-2,1,1
516,1,1,1,2
517,1,1,1,2
518,1,2,3,1
519,1,2,3,1
520,1,2,2,-1
521,0,1.26457,1.97952,-0.185652
522,1,1,3,2
523,1,1,3,2
524,1,2,2,1
525,1,2,2,1
526,1,-1,0,-1
527,1,-1,0,-1
528,1,1,1,2
529,0,1.06311,1.08386,1.75
530,0,1.69578,1.33759,1.06603
531,1,2,1,1
532,1,-1,2,2
533,0,-0.937514,2.03472,1.94527
534,0,0.321216,2.13417,0.698912
