index, isfixed(bool), pos.x,pos.y,pos.z
404,0,-3.98822,12.9495,-10.4565
405,0,-2.82481,11.2788,11.3269
406,1,-2,12,14
407,0,-8.91376,4.58641,-4.73578
408,0,-6.12724,6.55204,-5.64259
409,0,-11.945,2.29337,-5.24237
410,0,-11.7068,2.41302,-5.58521
411,0,-4.27592,9.53306,8.62291
412,1,-2,12,14
413,0,-11.976,1.30063,-8.161
414,1,-12,1,-9
415,0,-11.9414,3.25119,-2.35377
416,0,-11.9403,2.8594,-3.51394
417,0,-9.93785,3.52461,-6.47809
418,0,-10.6769,2.62008,-7.40057
419,0,-9.56361,4.20535,-5.32047
420,1,-12,1,-9
421,0,-11.7997,1.97608,-6.66929
422,1,-12,1,-9
423,0,-9.71526,4.51464,-5.85335
424,0,-9.75047,4.45208,-4.81581
425,0,-9.22274,4.50609,-5.29683
426,0,-9.95457,3.69955,-5.09119
427,0,-8.46011,5.80259,-5.06391
428,0,-9.00156,5.09676,-6.12442
429,0,-11.1284,2.40441,-7.95693
430,1,-12,1,-9
431,0,-7.87576,21.6956,-7.74687
432,1,3,24,-15
433,0,6.60883,20.0837,-4.65451
434,1,8,23,-4
435,0,7.68032,21.8624,-4.65489
436,0,7.12997,21.6707,-4.21841
437,0,0.308825,23.2431,-13.178
438,0,-7.11472,21.8051,-8.24687
439,0,8.08056,21.1849,-6.10044
440,0,3.4844,2,-5.65579
441,0,-5.90799,4.90438,-5.92662
442,1,-12,1,-9
0,1,9.9097,22.1718,-8.30541
1,1,-5.3799,0.067619,-14.7494
2,1,-6.14098,13.1084,13.4665
3,1,-11.225,21.276,-15.2775
4,1,-10.66,23.0871,-6.10196
5,1,8.29727,0.225081,-9.1276
6,1,8.7546,0.869246,2.9947
7,1,-12.0489,3.85321,-0.229367
8,0,-2.31165,10.5823,-4.66626
0,0,5,24.9,7.86
1,0,5,15.1,7.86
2,0,-5,24.9,7.86
3,0,-5,15.1,7.86
4,0,7.68,24.9,-2.2
5,0,7.68,15.1,-2.2
6,0,-5.57,24.9,1.85
7,0,-5.44,15.1,0.56
8,1,19,0,19
9,1,-19,0,19
10,1,5.02,48.32,12.12
11,1,-8,31,19
12,1,19,0,-19
13,1,-19,0,-4
14,1,16.21,40.04,-6.71
15,1,-19,19,8
