Unique Index, Index, restlegth,isvisible(bool), isforbidden(bool), source vertex, target vertex
907,7,2.79434,1,1,29,365
908,908,0.0762765,1,0,366,367
909,53,0.0563242,1,0,25,366
910,53,0.0563242,1,0,126,366
911,53,0.028162,1,0,126,367
912,53,0.0281622,1,0,185,367
913,913,1.38326,1,0,368,369
914,313,0.744653,1,0,128,368
915,313,0.744653,1,0,129,368
916,22,0.164865,1,0,5,369
917,22,0.164865,1,0,334,369
918,918,3.04521,1,0,370,371
919,28,0.596,1,0,5,370
920,28,0.596,1,0,128,370
921,27,0.0843487,1,0,14,371
922,27,0.0843486,1,0,195,371
923,923,2.17512,1,0,372,373
924,24,0.32973,0,0,7,372
925,24,0.32973,1,0,130,372
926,31,0.1,1,0,125,373
927,31,0.1,1,0,303,373
928,928,0.391418,1,0,374,375
929,24,0.32973,1,0,45,374
930,24,0.32973,1,0,130,374
931,24,0.133973,1,0,45,375
932,24,0.133973,1,0,259,375
933,933,1.18401,1,0,376,377
934,98,0.0629123,1,0,42,376
935,98,0.0629124,1,0,131,376
936,24,0.0308916,1,0,55,377
937,24,0.0308915,1,0,261,377
938,938,0.683511,1,0,378,379
939,98,0.11717,1,0,76,378
940,98,0.11717,1,0,131,378
941,318,0.75858,1,0,131,379
942,318,0.758581,1,0,239,379
943,943,0.555594,1,0,380,381
944,323,0.704465,0,0,132,380
945,323,0.704465,1,0,133,380
946,118,0.141569,1,0,50,381
947,118,0.141569,1,0,312,381
948,948,0.665461,0,0,382,383
949,43,0.485981,1,0,21,382
950,43,0.485981,1,0,132,382
951,323,0.352233,1,0,132,383
952,323,0.352232,1,0,380,383
953,953,1.53165,1,0,384,385
954,328,0.824866,1,0,134,384
955,328,0.824866,1,0,135,384
956,21,0.142032,1,0,67,385
957,21,0.0775458,1,0,197,385
958,958,1.07734,1,0,386,387
959,333,0.607406,0,0,136,386
960,333,0.607406,1,0,137,386
961,18,0.125442,1,0,2,387
962,18,0.125442,1,0,206,387
963,963,0.192436,1,0,388,389
964,338,0.204369,1,0,138,388
965,338,0.204369,1,0,139,388
966,3,0,1,1,59,389
967,3,0.850857,1,1,115,389
968,968,0.413986,1,0,390,391
969,138,0.238626,1,0,58,390
970,138,0.238627,1,0,138,390
971,138,0.238626,1,0,59,391
972,138,0.238627,1,0,138,391
973,973,0.925078,1,0,392,393
974,343,1.1531,1,0,140,392
975,343,1.1531,1,0,141,392
976,30,0.2,1,0,6,393
977,30,0.2,1,0,141,393
978,978,0.280195,1,0,394,395
979,25,0.171453,0,0,58,394
980,25,0.171453,1,0,140,394
981,25,0.0857267,1,0,140,395
982,25,0.0857267,1,0,193,395
983,983,0.561687,1,0,396,397
984,348,0.648136,1,0,142,396
985,348,0.648137,1,0,143,396
986,7,0.342263,1,1,81,397
987,7,0,1,1,143,397
988,988,1.21444,1,0,398,399
989,15,0.125442,1,0,0,398
990,15,0.125442,1,0,142,398
991,333,0.303703,1,0,136,399
992,333,0.303703,1,0,386,399
993,993,0.155655,1,0,400,401
994,353,0.156268,1,0,144,400
995,353,0.156269,1,0,145,400
996,7,0,1,1,79,401
997,7,0.0619081,1,1,113,401
998,998,0.872528,1,0,402,403
999,33,0.162165,1,0,36,402
1000,33,0.162165,1,0,144,402
1001,688,1.27121,1,0,278,403
1002,688,1.27121,1,0,279,403
1003,1003,0.243444,1,0,404,405
1004,358,0.189127,1,0,146,404
1005,358,0.189127,1,0,147,404
1006,208,0.462585,0,0,86,405
1007,208,0.462585,1,0,147,405
1008,1008,0.936022,1,0,406,407
1009,20,0.1,1,0,16,406
1010,20,0.1,1,0,146,406
1011,14,0.0745,1,0,99,407
1012,14,0.0745,1,0,293,407
1013,1013,0.828977,1,0,408,409
1014,208,0.30909,1,0,87,408
1015,208,0.30909,1,0,147,408
1016,208,0.231292,1,0,86,409
1017,208,0.231292,1,0,405,409
1018,1018,0.527595,1,0,410,411
1019,363,0.648833,0,0,148,410
1020,363,0.648833,1,0,149,410
1021,13,0.1,1,0,122,411
1022,13,0.1,1,0,149,411
1023,1023,1.06981,1,0,412,413
1024,128,0.5892,1,0,55,412
1025,128,0.5892,1,0,148,412
1026,878,0.241991,1,0,354,413
1027,878,0.241991,1,0,355,413
1028,1028,0.841138,1,0,414,415
1029,13,0.1,1,0,28,414
1030,13,0.1,1,0,149,414
1031,363,0.324416,1,0,148,415
1032,363,0.324416,1,0,410,415
1033,1033,1.04911,1,0,416,417
1034,368,0.72866,1,0,150,416
1035,368,0.72866,1,0,151,416
1036,14,0.0745,1,0,44,417
1037,14,0.0745,1,0,292,417
1038,1038,0.740976,0,0,418,419
1039,14,0.298,1,0,44,418
1040,14,0.298,1,0,150,418
1041,298,0.250274,1,0,122,419
1042,298,0.250274,1,0,350,419
1043,1043,0.320464,1,0,420,421
1044,17,0.0745,1,0,23,420
1045,17,0.0745,1,0,152,420
1046,388,0.551499,1,0,158,421
1047,388,0.551499,1,0,159,421
1048,1048,0.896342,1,0,422,423
1049,378,0.748044,0,0,154,422
1050,378,0.748044,0,0,155,422
1051,143,0.428117,1,0,60,423
1052,143,0.428117,1,0,170,423
1053,1053,0.39895,1,0,424,425
1054,19,0.164865,1,0,6,424
1055,19,0.164865,1,0,154,424
1056,378,0.374022,1,0,154,425
1057,378,0.374022,1,0,422,425
1058,1058,0.342778,1,0,426,427
1059,29,0.298,1,0,7,426
1060,29,0.298,1,0,155,426
1061,24,0.164865,1,0,7,427
1062,24,0.164865,1,0,372,427
1063,1063,1.51061,1,0,428,429
1064,23,0.154754,1,0,42,428
1065,23,0.0940927,1,0,157,428
1066,413,2.12867,1,0,168,429
1067,413,1.2299,1,0,169,429
1068,1068,0.215501,1,0,430,431
1069,23,0.111812,1,0,87,430
1070,23,0.111812,1,0,157,430
1071,383,0.267554,1,0,157,431
1072,383,0.267554,1,0,169,431
1073,1073,1.23793,1,0,432,433
1074,17,0.0745,1,0,23,432
1075,17,0.0745,1,0,158,432
1076,948,0.33273,1,0,382,433
1077,948,0.33273,1,0,383,433
1078,1078,1.11555,1,0,434,435
1079,17,0.0745,1,0,61,434
1080,17,0.0745,1,0,158,434
1081,17,0.149,1,0,64,435
1082,17,0.149,1,0,159,435
1083,1083,2.83632,1,0,436,437
1084,393,0.764784,1,0,160,436
1085,393,0.764784,1,0,161,436
1086,18,0.125442,1,0,11,437
1087,18,0.125442,1,0,230,437
1088,1088,2.9867,1,0,438,439
1089,19,0.164865,1,0,18,438
1090,19,0.164865,1,0,160,438
1091,22,0.164865,1,0,116,439
1092,22,0.164865,1,0,334,439
1093,1093,0.409407,1,0,440,441
1094,398,0.579706,0,0,162,440
1095,398,0.579706,1,0,163,440
1096,14,0.149,1,0,57,441
1097,14,0.149,1,0,190,441
1098,1098,0.616512,1,0,442,443
1099,133,0.458778,1,0,56,442
1100,133,0.458778,1,0,162,442
1101,398,0.289853,1,0,162,443
1102,398,0.289853,1,0,440,443
1103,1103,1.03027,1,0,444,445
1104,133,0.458778,1,0,57,444
1105,133,0.458778,1,0,162,444
1106,1038,0.370488,1,0,418,445
1107,1038,0.370488,1,0,419,445
1108,1108,0.126191,1,0,446,447
1109,20,0.05,1,0,1,446
1110,20,0.05,1,0,163,446
1111,14,0.149,1,0,1,447
1112,14,0.149,1,0,190,447
1113,1113,0.90865,1,0,448,449
1114,20,0.05,1,0,105,448
1115,20,0.05,1,0,163,448
1116,188,0.24042,1,0,78,449
1117,188,0.24042,1,0,240,449
1118,1118,4.30129,1,0,450,451
1119,403,0.398686,1,0,164,450
1120,403,0.398686,1,0,165,450
1121,27,0.0843487,1,0,62,451
1122,27,0.0843487,1,0,195,451
1123,1123,1.77726,1,0,452,453
1124,15,0.125442,1,0,48,452
1125,15,0.125442,1,0,164,452
1126,193,0.428546,1,0,80,453
1127,193,0.428546,1,0,244,453
1128,1128,0.60398,1,0,454,455
1129,408,0.739696,0,0,166,454
1130,408,0.739696,1,0,167,454
1131,7,0.104673,1,1,117,455
1132,7,0,1,1,167,455
1133,1133,0.422999,1,0,456,457
1134,22,0.164865,1,0,1,456
1135,22,0.164865,1,0,166,456
1136,408,0.369848,1,0,166,457
1137,408,0.369848,1,0,454,457
1138,1138,4.29765,1,0,458,459
1139,25,0.0887446,1,0,20,458
1140,25,0.0887444,1,0,168,458
1141,218,0.479239,1,0,90,459
1142,218,0.479239,1,0,266,459
1143,1143,2.07536,1,0,460,461
1144,383,0.267554,1,0,156,460
1145,383,0.267554,1,0,169,460
1146,25,0.0857266,1,0,58,461
1147,25,0.0857267,1,0,394,461
1148,1148,0.337662,1,0,462,463
1149,418,0.170597,1,0,170,462
1150,418,0.170597,1,0,171,462
1151,19,0.0824324,0,0,27,463
1152,19,0.0824324,1,0,283,463
1153,1153,1.43282,1,0,464,465
1154,143,0.428117,1,0,61,464
1155,143,0.428117,1,0,170,464
1156,378,0.374022,1,0,155,465
1157,378,0.374022,1,0,422,465
1158,1158,0.125505,1,0,466,467
1159,19,0.0824324,1,0,97,466
1160,19,0.0824324,1,0,171,466
1161,19,0.0824324,1,0,97,467
1162,19,0.0824324,1,0,283,467
1163,1163,0.291185,1,0,468,469
1164,423,0.334088,1,0,172,468
1165,423,0.334088,1,0,173,468
1166,8,2.4,1,1,77,469
1167,8,2.4,1,1,237,469
1168,1168,1.80133,1,0,470,471
1169,158,1.98272,1,0,66,470
1170,158,1.98272,1,0,172,470
1171,158,0.154503,1,0,67,471
1172,158,0.17469,1,0,172,471
1173,1173,0.163624,1,0,472,473
1174,428,0.138213,1,0,174,472
1175,428,0.138213,1,0,175,472
1176,17,0.0745,1,0,2,473
1177,17,0.0745,1,0,175,473
1178,1178,0.309342,1,0,474,475
1179,19,0.164865,1,0,2,474
1180,19,0.164865,1,0,174,474
1181,508,0.681634,1,0,206,475
1182,508,0.681634,1,0,207,475
1183,1183,0.207666,1,0,476,477
1184,19,0.164865,1,0,27,476
1185,19,0.164865,1,0,174,476
1186,19,0.0412162,1,0,27,477
1187,19,0.0412162,1,0,463,477
1188,1188,0.35322,1,0,478,479
1189,433,0.486383,1,0,176,478
1190,433,0.486383,1,0,177,478
1191,19,0.0824324,1,0,154,479
1192,19,0.0824324,1,0,177,479
1193,1193,0.44979,1,0,480,481
1194,32,0.250884,1,0,6,480
1195,32,0.250884,1,0,176,480
1196,178,0.566289,1,0,74,481
1197,178,0.566289,1,0,232,481
1198,1198,0.349494,1,0,482,483
1199,19,0.0824324,1,0,60,482
1200,19,0.0824324,1,0,177,482
1201,538,0.323238,1,0,218,483
1202,538,0.323238,1,0,219,483
1203,1203,0.521405,1,0,484,485
1204,438,0.500767,1,0,178,484
1205,438,0.500767,1,0,179,484
1206,15,0.0627209,1,0,164,485
1207,15,0.062721,1,0,179,485
1208,1208,1.16922,1,0,486,487
1209,15,0.125442,1,0,10,486
1210,15,0.125442,1,0,178,486
1211,293,0.210428,1,0,120,487
1212,293,0.210428,1,0,346,487
