index, isfixed(bool), pos.x,pos.y,pos.z
323,0,-3.26638,2.67037,-2.85619
324,0,0.39659,1.7152,2.72294
325,1,0.5,1.905,3
326,0,0.178303,1.31044,2.13731
327,0,0.396237,1.71453,2.72199
328,0,-0.462535,-1.51618,-2.13654
329,0,2.37493,-1.24957,-2.3282
330,0,-1.42785,0.857029,-2.28726
331,0,0.863872,-0.640299,-2.27131
332,0,1.52484,-2.08254,-0.868706
333,0,1.42341,-1.098,0.750852
334,0,1.60925,-1.10332,-1.06154
335,0,-1.92651,1.05423,-0.516614
336,0,1.487,-1.2523,-0.371833
337,0,1.43121,-1.24252,0.195889
338,0,1.3199,-2.06613,1.60733
339,0,1.36927,-1.96954,1.57056
340,0,1.45243,-2.19892,1.67865
341,0,1.47691,-2.72086,1.91341
342,0,1.43169,-2.3967,1.76361
343,0,1.47281,-2.68762,1.89794
344,0,1.04919,-1.56037,1.36276
345,0,3.21422,2.67719,-2.65547
346,0,1.63891,1.69056,2.65626
347,0,1.69346,0.86691,1.87298
348,0,1.96106,1.87822,2.47595
349,0,2.10239,2.21063,2.59343
350,0,-0.0659223,0.949584,1.42501
351,0,-0.0692961,1.06003,1.8009
352,0,0.720833,0.97967,1.41871
353,0,-1.01609,-1.31531,0.634339
354,0,-0.745422,0.894324,1.27443
355,0,-0.372251,0.427597,1.3688
356,0,-0.497549,0.950061,1.46835
357,0,-0.302896,1.0026,1.67342
358,0,0.865428,-1.23292,-0.722691
359,0,-0.905014,-1.20659,0.727261
360,0,0.914094,-1.27528,0.027887
361,0,0.0202662,-1.36592,0.401024
362,0,1.48291,-1.04704,-1.4421
363,0,-1.21288,-1.35867,-1.5325
364,0,1.49394,-2.85277,1.97525
365,1,1.5,-2.905,2
366,0,1.49394,-2.85277,1.97525
367,0,1.4835,-2.76706,1.93482
368,0,2.77893,0.0694104,-1.77128
369,0,1.492,-0.933114,-1.19815
370,0,1.84589,-0.346972,-1.45771
371,0,3.40074,2.8235,-2.879
372,0,-1.52495,-1.31948,-0.945433
373,0,1.10695,-1.01303,-1.55498
374,0,-1.2498,-1.38271,-0.290755
375,0,-1.04048,-1.32271,0.147391
376,0,-1.54181,-2.28333,1.47821
377,0,-0.782835,-1.21913,0.784039
378,0,-1.54492,-2.46164,1.64168
379,0,-1.50785,-2.13465,0.85321
380,0,-2.79379,-0.973886,0.00271086
381,0,-2.79007,-0.852833,-0.68114
382,0,-1.67517,-0.71719,0.263772
383,0,-2.44069,-0.913329,0.00406629
384,0,1.45621,-2.07134,0.178304
385,0,2.12189,-2.59599,1.89503
386,0,-0.35626,0.950214,2.3906
387,0,-1.0588,0.876998,1.24404
388,0,-3.26811,-1.11745,-1.94013
389,1,-3.5,-1.095,-2
390,0,-2.76859,-1.1671,-1.80997
391,0,-3.26706,-1.11756,-1.93985
392,0,-1.70517,-0.0510005,-1.32412
393,0,-1.49372,1.07938,-1.20302
394,0,-2.30393,-1.15999,-1.64437
395,0,-1.9871,-1.14403,-1.49593
396,0,1.36993,1.01554,2.31896
397,1,1.5,0.905,3
398,0,1.1128,1.02879,1.50274
399,0,-0.295373,0.971647,2.06688
400,0,0.4231,-2.73128,1.04201
401,1,0.5,-2.905,1
402,0,0.272019,-2.3845,1.14371
403,0,-0.00140125,-1.58653,1.83511
404,0,-0.367414,-1.57211,0.971035
405,0,-0.0775217,-1.48876,1.01124
406,0,-0.0982655,-1.56506,0.95731
407,0,0.430704,-0.601467,1.35812
408,0,-0.851899,-1.68308,1.02545
409,0,0.151971,-1.42725,1.00197
410,0,-0.0713704,0.414828,1.42184
411,0,0.323969,0.914269,1.59271
412,0,-0.566693,-0.653351,0.973949
413,0,-0.663608,0.650288,1.25574
414,0,0.158891,1.01051,1.76445
415,0,-0.221156,0.149077,1.2965
416,0,0.586353,0.631764,2.30848
417,0,0.434751,-0.315337,1.41419
418,0,0.560945,0.0682587,1.52239
419,0,0.15326,0.899822,1.50901
420,0,-0.970358,0.0190809,0.597297
421,0,-1.13847,-0.314028,0.743037
422,0,-1.71617,0.149079,-1.1584
423,0,-1.58001,0.799544,-0.256337
424,0,-1.70855,1.01649,-1.17744
425,0,-1.7218,0.523719,-1.102
426,0,-1.62869,-0.897064,-1.29701
427,0,-1.41846,-1.24445,-1.1602
428,0,-1.44165,-2.05106,1.20811
429,0,-2.01525,-1.76424,-0.567914
430,0,-1.27189,-1.85449,1.0622
431,0,-1.39119,-1.8251,0.822475
432,0,-1.00423,0.171344,0.69845
433,0,-2.05989,-0.81336,0.141298
434,0,-1.02949,0.334678,0.796633
435,0,-1.27694,-1.03759,0.787072
436,0,-2.71091,0.854351,-0.169002
437,0,-2.37671,2.68226,2.85043
438,0,-1.86134,0.868663,-0.178415
439,0,1.31374,-0.954844,-0.907627
440,0,0.352528,-0.944967,0.900424
441,0,0.753828,-0.825018,1.19448
442,0,-0.59133,-0.507717,0.65005
443,0,0.103918,-0.779818,0.841041
444,0,0.214367,-0.701529,1.00674
445,0,0.32873,0.468214,1.53318
446,0,0.977428,-1.16626,0.934394
447,0,0.970176,-1.02303,1.00007
448,0,0.80524,-1.20721,0.942846
449,0,0.225545,-2.17049,1.10446
450,0,1.55351,1.80068,2.58728
451,0,3.11528,2.49461,-2.5105
452,0,1.54712,1.58772,2.02167
453,0,2.2602,1.23023,-0.0517554
454,0,1.40264,-2.15825,0.946389
455,1,1.5,-2.905,1
456,0,1.18905,-1.28257,0.911248
457,0,1.35396,-1.78488,0.919583
458,0,-2.98814,-1.81978,-2.36174
459,0,2.36994,-1.43254,-2.36824
460,0,-1.11365,-1.42075,0.539371
461,0,-2.38084,-1.17376,-1.71076
462,0,-1.52038,0.749706,0.126504
463,0,-1.45953,1.03695,0.429713
464,0,-1.26263,0.471959,0.49574
465,0,-1.63281,-0.23616,-1.10717
466,0,-1.60378,0.95066,0.188659
467,0,-1.52932,1.03686,0.296531
468,0,1.48857,-2.55359,1.90588
469,1,1.5,-2.905,2
470,0,0.154165,-0.640409,1.77582
471,0,1.67498,-2.30087,1.77893
472,0,-1.12482,0.722141,0.913006
473,0,-1.00602,0.676772,1.07319
474,0,-1.07881,0.79051,0.990523
475,0,-1.37462,0.842135,0.746911
476,0,-1.32295,0.924303,0.669538
477,0,-1.45391,1.02484,0.469227
478,0,-1.91594,1.17153,-1.20941
479,0,-1.77817,0.912188,-0.879704
480,0,-1.87932,1.24599,-1.46413
481,0,-1.67928,1.47458,-0.991014
482,0,-1.79031,0.890418,-0.682923
483,0,-1.70185,0.662649,-0.320777
484,0,2.01449,2.21782,2.55208
485,0,1.66568,1.76939,2.23265
486,0,2.40243,2.74889,2.90583
487,0,1.68884,1.54773,2.47683
